,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_usage,net_gen
10556,58771,Roosevelt County,"EDF Renewable Asset Holdings, Inc.",57170,NM,MTN,WT,9643955,1099277.0
10557,58772,Longhorn Wind,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,6220040,708998.0
10558,58773,TX Hereford Wind,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,6606324,753029.0
10559,58774,Spinning Spur Wind II,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,4484214,511138.0
10560,58775,Spinning Spur Wind III,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,7073644,806297.0
10598,58830,Cross Winds Energy Park,Consumers Energy Co,4254,MI,ENC,WT,6332283,721792.0
10602,58833,Red Horse 2,Red Horse 2,59146,AZ,MTN,WT,603996,68847.0
10606,58836,Lakeswind Power Partners,Lakeswind Power Partners,58710,MN,WNC,WT,1445615,164780.0
10607,58837,Na Pua Makani Wind Project,Na Pua Makani Power Partners LLC,58718,HI,PACN,WT,126226,14388.0
10608,58838,Keechi Wind,"Keechi Wind, LLC",62969,TX,WSC,WT,3781962,431091.0
10635,58872,Bison 4 Wind Energy Center,"ALLETE, Inc.",12647,ND,WNC,WT,7071013,805997.0
10644,58883,Highland Wind Project (IA),MidAmerican Energy Co,12341,IA,WNC,WT,13321247,1518437.0
10645,58884,Lundgren Wind Project,MidAmerican Energy Co,12341,IA,WNC,WT,6999977,797900.0
10646,58885,Macksburg Wind Project,MidAmerican Energy Co,12341,IA,WNC,WT,2813615,320713.0
10647,58886,Wellsburg Wind Project,MidAmerican Energy Co,12341,IA,WNC,WT,3787839,431761.0
10648,58887,Com Adam 1WF-1,FPC Services Inc.,58760,IL,ENC,WT,54857,6252.84
10651,58891,"Big Turtle Wind Farm, LLC",DTE Sustainable Generation,64331,MI,ENC,WT,583210,66478.0
10656,58898,Pilot Hill Wind Farm,"EDF Renewable Asset Holdings, Inc.",57170,IL,ENC,WT,5201765,592929.0
10659,58900,Balko Wind LLC,Balko Wind LLC,58770,OK,WSC,WT,10002386,1140133.0
10661,58902,Kingfisher Wind LLC,Kingfisher Wind LLC,58773,OK,WSC,WT,9359447,1066847.0
10662,58904,Fourmile Ridge,"Fourmile Wind Energy, LLC",58784,MD,SAT,WT,1109013,126412.11
10665,58908,Beebe 1B,"Beebe 1B Renewable Energy, LLC",58785,MI,ENC,WT,1258197,143417.0
10679,58924,Sugar Creek Wind One LLC,Sugar Creek Wind One LLC,60568,IL,ENC,WT,738739,84206.0
10680,58927,Story City Wind Project,Hamilton Wind Energy LLC,58795,IA,WNC,WT,47067,5365.0
10682,58932,Traer Wind Project,"Norsemen Wind Energy, LLC",58797,IA,WNC,WT,54112,6168.0
10687,58938,Origin Wind,"Enel Green Power NA, Inc.",59380,OK,WSC,WT,5143109,586243.0
10688,58939,Anderson Wind I,BayWa r.e Wind LLC,57421,NM,MTN,WT,159903,18227.0
10689,58940,Anderson Wind II,BayWa r.e Wind LLC,57421,NM,MTN,WT,387698,44192.0
10705,58958,Camelot Wind LLC,Camelot Wind LLC,58821,MA,NEW,WT,23801,2713.0
10712,58965,"Thunder Spirit Wind, LLC",Montana-Dakota Utilities Co,12199,ND,WNC,WT,5264907,600126.0
10713,58966,Fairfield Wind,Greenbacker Renewable Energy Corporation,60025,MT,MTN,WT,297246,33882.0
10720,58979,Copenhagen Wind Farm,"EDF Renewable Asset Holdings, Inc.",57170,NY,MAT,WT,2409591,274660.0
10722,58981,"Broken Bow Wind II, LLC",Consolidated Edison Development Inc.,56769,NE,WNC,WT,2884009,328737.0
10732,58992,Dept of Corrections NCCI Wind,Dept of Corrections NCCI Wind,58844,MA,NEW,WT,37706,4298.0
10734,58994,Breckinridge Wind Project LLC,NextEra Energy Resources Breckinridge,59394,OK,WSC,WT,3527369,402071.0
10735,58995,St. Olaf Wind Turbine,St. Olaf College,58828,MN,WNC,WT,24792,2826.0
10737,58998,Goodwell Wind Project LLC,"Enel Green Power NA, Inc.",59380,OK,WSC,WT,7824957,891936.29
10738,58999,Little Elk Wind Project LLC,"Enel Green Power NA, Inc.",59380,OK,WSC,WT,2796542,318767.0
10741,59003,Two Dot Wind Farm,NorthWestern Energy,13902,MT,MTN,WT,353867,40336.0
10744,59005,Mariah del Norte,Mariah Holdings II LLC c/o CAMS,60475,TX,WSC,WT,6355476,724436.0
10758,59021,Hoopeston Wind LLC,Hoopeston Wind LLC,58865,IL,ENC,WT,2828221,322378.0
10759,59022,Kingston Wind Independence,Kingston Wind Independence,58867,MA,NEW,WT,0,0.0
10760,59023,Ipswich Wind Independence,Ipswich Wind Independence,58866,MA,NEW,WT,0,0.0
10761,59024,"Euclid Farm, Stamco N-54",Case Western Reserve University,58869,OH,ENC,WT,6755,770.0
10770,59034,Shannon Wind,Shannon Wind LLC,58872,TX,WSC,WT,6002038,684149.0
10786,59053,Michelangelo Wind 3 LLC,Michelangelo Wind 3 LLC,58887,IA,WNC,WT,91248,10401.0
10794,59061,Radfords Run Wind Farm,RWE Renewables Americas LLC,56215,IL,ENC,WT,8930378,1017939.0
10795,59063,Stella Wind Farm,RWE Renewables Americas LLC,56215,TX,WSC,WT,5421216,617943.0
10796,59065,Drift Sand Wind Project LLC,"Enel Green Power NA, Inc.",59380,OK,WSC,WT,3589736,409180.0
10797,59066,Bruennings Breeze Wind Farm,RWE Renewables Americas LLC,56215,TX,WSC,WT,4699748,535706.0
10798,59068,"Colbeck's Corner, LLC",RWE Renewables Americas LLC,56215,TX,WSC,WT,7731234,881253.0
10799,59070,Jericho Power,Jericho Power LLC,58891,NH,NEW,WT,221818,25284.0
10800,59071,Carroll Area Wind Farm,SRIV Partnership LLC,62042,IA,WNC,WT,711033,81048.0
10808,59076,Chopin Wind LLC,BayWa r.e Wind LLC,57421,OR,PACC,WT,312400,35609.0
10815,59083,Limon III Wind LLC,Limon,57503,CO,MTN,WT,7120850,811678.0
10816,59084,Marshall Wind Farm,"BHE Renewables, LLC",59359,KS,WNC,WT,2299333,262092.0
10845,59118,Cameron Wind 1 LLC,Cameron Wind 1 LLC,58939,TX,WSC,WT,4180842,476558.0
10873,59147,Fair Wind,"Fair Wind Power Partners, LLC",58962,MD,SAT,WT,793558,90454.57
10909,59187,Beethoven Wind,NorthWestern Energy - (SD),13809,SD,WNC,WT,2717428,309749.0
10915,59193,Chapman Ranch Wind I,Chapman Ranch Wind LLC,58998,TX,WSC,WT,6004786,684462.0
10922,59200,Border Winds Wind Farm,Northern States Power Co - Minnesota,13781,ND,WNC,WT,5907451,673367.0
10923,59201,Pleasant Valley Wind Farm,Northern States Power Co - Minnesota,13781,MN,WNC,WT,6926415,789515.0
10935,59222,Passadumkeag Windpark LLC,Southern Power Co,17650,ME,NEW,WT,1257453,143332.0
10936,59223,Optimum Wind 5 LLC,Optimum Wind 5 LLC,59017,IA,WNC,WT,83948,9569.0
10937,59224,Optimum Wind 6 LLC,Optimum Wind 6 LLC,59018,IA,WNC,WT,90772,10347.0
10938,59225,Optimum Wind 7 LLC,Optimum Wind 7 LLC,59019,IA,WNC,WT,91450,10424.0
10939,59226,Optimum Wind 4 LLC,Optimum Wind 4 LLC,59024,IA,WNC,WT,80018,9121.0
10940,59227,Optimum Wind 3 LLC,Optimum Wind 3 LLC,59025,IA,WNC,WT,84344,9614.0
10941,59228,Leonardo Wind 1 LLC,Leonardo Wind 1 LLC,59022,IA,WNC,WT,96162,10961.0
10942,59230,Venus Wind 3 LLC,Venus Wind 3 LLC,59021,IA,WNC,WT,99748,11370.0
10943,59231,Michelangelo Wind 1 LLC,Michelangelo Wind 1 LLC,59026,IA,WNC,WT,94873,10814.0
10944,59232,Michelangelo Wind 4 LLC,Michelangelo Wind 4 LLC,59027,IA,WNC,WT,93416,10648.0
10946,59234,Arbuckle Mountain Wind Farm LLC,Arbuckle Mountain Wind Farm LLC,59039,OK,WSC,WT,3620337,412668.0
10947,59235,Rising Tree Wind Farm II,Rising Tree Wind Farm II LLC,59040,CA,PACC,WT,466898,53220.0
10948,59236,Rising Tree Wind Farm III,Rising Tree Wind Farm III LLC,59042,CA,PACC,WT,2176362,248075.0
10950,59238,Windthorst-2,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,2018851,230121.0
10955,59244,Lorenzo Wind,"Lorenzo Wind, LLC",61133,TX,WSC,WT,3283585,374283.0
10956,59245,Fluvanna,Fluvanna Wind Energy LLC,60042,TX,WSC,WT,5388604,614226.0
10957,59247,Hale Community Wind Farm,Hale Wind Energy,60040,TX,WSC,WT,18280099,2083677.0
10988,59284,Mammoth Plains,Mammoth Plains Wind Project,60768,OK,WSC,WT,7091347,808315.0
10989,59292,Rattlesnake Creek Wind Project,"Rattlesnake Creek Wind Project, LLC",61414,NE,WNC,WT,10573333,1205213.0
10990,59295,WED NK Green,WED NK Green LLC,59097,RI,NEW,WT,23679,2699.0
10991,59296,Northwest Ohio Wind,"Northwest Ohio Wind, LLC",59098,OH,ENC,WT,2504166,285440.0
10995,59301,WED Coventry 1,"WED Coventry One, LLC",59105,RI,NEW,WT,25345,2889.0
10996,59302,WED Coventry 2,"WED Coventry Two, LLC",59106,RI,NEW,WT,89704,10225.0
10997,59305,WED Coventry 3,"WED Coventry Three, LLC",59107,RI,NEW,WT,28978,3303.0
10998,59306,WED Coventry 4,"WED Coventry Four, LLC",59108,RI,NEW,WT,21738,2478.0
11002,59311,Seiling Wind I,NextEra Energy Seiling Wind,59115,OK,WSC,WT,6959147,793246.0
11003,59312,Seiling Wind II,NextEra Energy Seiling Wind,59115,OK,WSC,WT,3403345,387934.0
11004,59313,WED Coventry 5,"WED Coventry Five, LLC",59116,RI,NEW,WT,26996,3077.0
11005,59314,WED Coventry 6,"WED Coventry Six, LLC",59117,RI,NEW,WT,81291,9266.0
11011,59320,Los Vientos Windpower III,"Los Vientos Windpower III, LLC",59119,TX,WSC,WT,5013482,571467.0
11012,59321,Los Vientos Windpower IV,"Los Vientos Windpower IV, LLC",59120,TX,WSC,WT,5272601,601003.0
11021,59328,Golden Acorn Casino,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,38513,4390.0
11022,59329,City of Soledad Water Reclamation,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,30443,3470.0
11023,59330,Taylor Farms,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,30767,3507.0
11024,59331,Anheuser-Busch #2,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,29827,3400.0
11025,59332,Mesquite Creek Wind,"Mesquite Creek Wind, LLC",59900,TX,WSC,WT,6333299,721908.0
11059,59384,South Plains Wind Phase I,"Evergreen Wind, LLC",59155,TX,WSC,WT,7090559,808225.0
11087,59417,Pleasant Hill Wind Energy Project,Pleasant Hill Wind Energy LLC,59188,TX,WSC,WT,349448,39832.0
11102,59435,Oak Tree Energy,Consolidated Edison Development Inc.,56769,SD,WNC,WT,641342,73104.0
11109,59442,Logans Gap Wind LLC,Pattern Operators LP,56545,TX,WSC,WT,5947060,677882.0
11116,59448,Waxdale,"S.C. Johnson & Son, Inc.",59216,WI,ENC,WT,62474,7121.0
11128,59460,"Kay Wind, LLC",Southern Power Co,17650,OK,WSC,WT,8574273,977348.0
11142,59475,Palo Duro Wind,Palo Duro Wind,59238,TX,WSC,WT,9991972,1138946.0
11157,59490,Jett Creek Windfarm (Burnt River),Jett Creek,59860,OR,PACC,WT,231808,26423.0
11158,59491,Benson Creek Windfarm (Burnt River),Benson Creek,59861,OR,PACC,WT,247478,28209.0
11159,59492,Durbin Creek Windfarm (Burnt River),Durbin Creek,59862,OR,PACC,WT,217414,24782.0
11160,59493,Prospector Windfarm (Burnt River),Prospector,59863,OR,PACC,WT,223141,25435.0
11161,59494,Willow Spring Windfarm (Burnt River),Willow Spring,59864,OR,PACC,WT,259943,29630.0
11214,59547,Fowler Ridge IV Wind Farm LLC,Pattern Operators LP,56545,IN,ENC,WT,3591754,409410.0
11271,59621,TX Jumbo Road Wind,"TX Jumbo Road Wind, LLC",59871,TX,WSC,WT,8887540,1013056.0
11272,59622,Future Generation Wind,Consolidated Edison Solutions Inc,57365,MA,NEW,WT,112917,12871.0
11279,59629,Jericho Rise Wind Farm LLC,Jericho Rise Wind Farm LLC,59362,NY,MAT,WT,1972697,224860.0
11287,59637,Adams Wind,MidAmerican Energy Co,12341,IA,WNC,WT,3697364,421448.0
11289,59639,631 Owner Turbine,Philips Lightolier,59395,MA,NEW,WT,3649,416.0
11302,59654,Sendero,"Sendero Wind Energy, LLC",59428,TX,WSC,WT,2710673,308979.0
11303,59655,Campbell County Wind Farm,Consolidated Edison Development Inc.,56769,SD,WNC,WT,3385125,385857.0
11325,59684,"Lindahl Wind Project, LLC","Enel Green Power NA, Inc.",59380,ND,WNC,WT,5531727,630540.0
11334,59692,NBC Field's Point Wind Farm,Narragansett Bay Commission,59463,RI,NEW,WT,64639,7368.0
11346,59712,"San Roman Wind I, LLC","Acciona Energy USA Global, LLC",57416,TX,WSC,WT,2357087,268675.0
11356,59724,Scituate Wind,Scituate Wind LLC,59493,MA,NEW,WT,29609,3375.0
11357,59725,Fairhaven Wind,Fairhaven Wind LLC,59494,MA,NEW,WT,50919,5804.0
11364,59732,Green Pastures Wind I,"Green Pastures Wind I, LLC",59501,TX,WSC,WT,4394999,500969.0
11365,59733,Green Pastures Wind II,"Green Pastures Wind II, LLC",59502,TX,WSC,WT,4217735,480763.0
11366,59734,Briscoe Wind Farm,Capital Dynamics,59503,TX,WSC,WT,2739552,312271.0
11367,59735,Kirkwood Wind Turbine,Kirkwood Community College,59504,IA,WNC,WT,21256,2423.0
11368,59736,"Valentine Wind, LLC","Valentine Wind, LLC",59506,NE,WNC,WT,55823,6363.0
11408,59776,Heartland Community College,Heartland Community College,59543,IL,ENC,WT,36102,4115.0
11430,59797,Bayonne MUA- Leitner-Poma Wind Turbine,"SUEZ North America, Inc",59568,NJ,MAT,WT,131,15.0
11450,59817,Tooele Army Depot,Tooele Army Depot,59598,UT,MTN,WT,23898,2724.0
11469,59837,Slate Creek Wind Project LLC,"EDF Renewable Asset Holdings, Inc.",57170,KS,WNC,WT,5406283,616241.0
11470,59838,Milo Wind Project LLC,"EDF Renewable Asset Holdings, Inc.",57170,NM,MTN,WT,1900635,216646.0
11514,59888,CP Bloom Wind LLC,Capital Power Corporation,59365,KS,WNC,WT,6383681,727651.0
11523,59902,Cardinal Point LLC,Capital Power Corporation,59365,IL,ENC,WT,3781180,431002.0
11524,59903,New Frontier Wind,Capital Power Corporation,59365,ND,WNC,WT,3741991,426535.0
11556,59943,Rattlesnake Den,SunEdison LLC,59139,TX,WSC,WT,6042754,688790.04
11566,59953,Antrim Wind,Antrim Wind Energy LLC,59714,NH,NEW,WT,703788,80222.0
11578,59965,Latigo Wind Park,"Sustainable Power Group, LLC",58661,UT,MTN,WT,1430735,163084.0
11580,59968,"Desert Wind Farm, LLC",Avangrid Renewables LLC,15399,NC,SAT,WT,4792400,546267.0
11581,59972,Bearkat,"Bearkat Wind Energy 1, LLC",63428,TX,WSC,WT,5999048,683808.0
11583,59974,Golden West Power Partners LLC,"Golden West Power Partners, LLC",59729,CO,MTN,WT,7338122,836444.0
11584,59975,Carousel Wind Farm LLC,"Carousel Wind Farm, LLC",59730,CO,MTN,WT,5762484,656843.0
11617,60013,"Grant Wind, LLC",Southern Power Co,17650,OK,WSC,WT,5001347,570084.0
11619,60015,Findlay Wind Farm,Findlay Wind Farm,59760,OH,ENC,WT,67394,7682.0
11647,60049,Golden Hills Wind,"Golden Hills Wind, LLC",59780,CA,PACC,WT,2304315,262660.0
11658,60059,Los Vientos V Wind Power,"Los Vientos Windpower V, LLC",59792,TX,WSC,WT,3115246,355095.0
11668,60069,"Cedar Bluff Wind, LLC","Cedar Bluff Wind, LLC",59817,KS,WNC,WT,7598602,866135.0
11689,60087,South Plains II,Onward Energy,60453,TX,WSC,WT,9445830,1076693.0
11690,60088,Sunflower Wind Project,Onward Energy,60453,ND,WNC,WT,4073971,464376.0
11706,60104,"Javelina Wind Energy, LLC","Javelina Wind Energy, LLC",59882,TX,WSC,WT,8299188,945992.0
11729,60126,Harpster Wind,"OEE XVII, LLC",59899,OH,ENC,WT,29118,3319.0
11731,60128,Zephyr Wind,"OEE XIX, LLC",59905,OH,ENC,WT,97478,11111.0
11735,60132,New Creek Wind,"New Creek Wind, LLC",62967,WV,SAT,WT,2838785,323582.0
11742,60143,Peak View Wind Farm,"Black Hills Colorado Electric, LLC",56146,CO,MTN,WT,1903004,216916.0
11744,60145,"Broadview Energy JN, LLC",Pattern Operators LP,56545,NM,MTN,WT,5995829,683441.0
11750,60152,"Broadview Energy KW, LLC",Pattern Operators LP,56545,NM,MTN,WT,4734000,539610.0
11782,60210,Cotton Plains Wind Farm,"Cotton Plains Wind I, LLC",59979,TX,WSC,WT,1688092,192419.0
11784,60217,Rocksprings,"Rocksprings Val Verde Wind, LLC",59999,TX,WSC,WT,4401493,501709.0
11785,60218,Frontier Windpower,"Frontier Windpower, LLC",59998,OK,WSC,WT,5438268,619887.0
11825,60256,Bluestem,"Bluestem Wind Energy, LLC",60044,OK,WSC,WT,7122589,811876.0
11828,60259,"Pioneer Wind Park, LLC","Sustainable Power Group, LLC",58661,WY,MTN,WT,2563779,292235.0
11831,60262,Prairie Breeze II,Invenergy Services LLC,49893,NE,WNC,WT,2719762,310015.0
11837,60270,Blue Cloud Wind Energy LLC,RWE Renewables Americas LLC,56215,TX,WSC,WT,5375900,612778.0
11869,60314,Prairie Breeze III,Invenergy Services LLC,49893,NE,WNC,WT,1255170,143072.0
11872,60317,"Grady Wind Energy Center, LLC",Pattern Operators LP,56545,NM,MTN,WT,7308526,833070.0
11877,60326,O'Brien Wind,MidAmerican Energy Co,12341,IA,WNC,WT,7047516,803319.0
11881,60329,"Ringer Hill Wind Farm, LLC",Ringer Hill Wind LLC,62892,PA,MAT,WT,994315,113338.0
11890,60338,Electra Wind Farm,"Electra Wind, LLC",60128,TX,WSC,WT,8273455,943059.0
11891,60339,Horse Creek Wind Farm,"Horse Creek Wind, LLC",60129,TX,WSC,WT,7684807,875961.0
11896,60342,Ida Grove Wind,MidAmerican Energy Co,12341,IA,WNC,WT,9387022,1069990.0
11911,60354,Brady II Wind Energy Center,"Brady Wind II, LLC",60149,ND,WNC,WT,5983134,681994.0
11912,60355,Brady Wind Energy Center,"Brady Wind, LLC",60148,ND,WNC,WT,6098015,695089.0
11920,60366,Old Settler Wind,"Old Settler Wind, LLC",60155,TX,WSC,WT,4501480,513106.0
11953,60404,Pisgah Mountain Wind,"Pisgah Mountain, LLC",60207,ME,NEW,WT,265087,30216.0
11962,60414,Bethel Wind Farm LLC,Southern Power Co,17650,TX,WSC,WT,10751971,1225575.0
12013,60470,Paulding Wind Farm III,Paulding Wind Farm III LLC,60258,OH,ENC,WT,2590157,295242.0
12014,60471,Green River Wind Farm,"Green River Wind Farm Phase 1, LLC",60259,IL,ENC,WT,4628995,527641.0
12026,60486,Greenfield Wind - MT,Greenbacker Renewable Energy Corporation,60025,MT,MTN,WT,788236,89848.0
12042,60502,"Tyler Bluff Wind Project, LLC",Southern Power Co,17650,TX,WSC,WT,3467738,395274.0
12043,60503,Crowned Ridge Wind Energy Center,"Crowned Ridge Wind, LLC",61416,SD,WNC,WT,7102299,809563.0
12044,60504,Blazing Star Wind Farm 1,"Blazing Star Wind Farm, LLC",60289,MN,WNC,WT,4976001,567195.0
12045,60505,Crocker Wind Farm,"Crocker Wind Farm, LLC",60290,SD,WNC,WT,7095042,808736.0
12081,60541,Wind GEM,"Wind GEM, LLC",60302,IA,WNC,WT,44806,5107.0
12084,60545,"Grant Plains Wind, LLC",Southern Power Co,17650,OK,WSC,WT,4644857,529449.0
12091,60551,Big Level Wind,Big Level Wind LLC,60328,PA,MAT,WT,2415200,275299.0
12114,60574,"Great Western Wind Energy, LLC","EDF Renewable Asset Holdings, Inc.",57170,OK,WSC,WT,8724180,994435.0
12127,60587,Kelly Creek Wind Project,"EDF Renewable Asset Holdings, Inc.",57170,IL,ENC,WT,5308438,605088.0
12134,60592,Rush Springs Wind,Rush Springs Wind Project,60819,OK,WSC,WT,8366660,953683.0
12136,60594,Voyager Wind I,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,3310034,377298.0
12161,60619,Rush Creek Wind,Public Service Co of Colorado,15466,CO,MTN,WT,17759366,2024321.0
12162,60620,"Ninnescah Wind Energy, LLC",Ninnescah Wind Energy LLC,60364,KS,WNC,WT,7551464,860762.0
12177,60639,Kingman Wind,"Kingman Wind Energy, LLC",60371,KS,WNC,WT,7448550,849031.0
12180,60645,"Javelina Wind Energy II, LLC","Javelina Wind Energy II, LLC",60384,TX,WSC,WT,6787635,773696.0
12186,60655,Rock Creek Wind Project,"Enel Green Power NA, Inc.",59380,MO,WNC,WT,9607348,1095104.0
12188,60657,"Salt Fork Wind Project, LLC",Southern Power Co,17650,TX,WSC,WT,6394323,728864.0
12201,60672,Osborn Wind Energy,Osborn Wind Energy LLC,60397,MO,WNC,WT,6074794,692442.0
12213,60687,"Cimarron Bend Wind Project I, LLC","Cimarron Bend Wind Project I, LLC",60406,KS,WNC,WT,7917421,902476.0
12214,60688,"Cimarron Bend Wind Project II, LLC","Cimarron Bend Wind Project II, LLC",60407,KS,WNC,WT,7976919,909258.0
12215,60689,Western Plains Wind Farm,"Evergy Kansas Central, Inc",22500,KS,WNC,WT,9735309,1109690.0
12224,60700,Wind Colebrook South,Wind Colebrook South,60430,CT,NEW,WT,106891,12184.0
12265,60743,"Rattlesnake Power, LLC","Rattlesnake Power, LLC",60443,TX,WSC,WT,5184626,590975.38
12363,60856,Astra Wind Farm,Astra Wind LLC,60515,TX,WSC,WT,3857129,439659.0
12370,60865,Equity Industrial Turbines,Equity Industrial Turbines,60521,MA,NEW,WT,77245,8805.0
12375,60873,Prairie Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,4625669,527262.0
12385,60883,"Deerfield Wind Energy, LLC","Deerfield Wind Energy, LLC",60537,MI,ENC,WT,4753456,541828.0
12397,60901,Willow Springs Wind Farm,"Willow Springs Windfarm, LLC",60542,TX,WSC,WT,8370502,954121.0
12398,60902,Dermott Wind,"Dermott Wind, LLC",60543,TX,WSC,WT,8203018,935030.0
12402,60905,"Oliver Wind III, LLC","Oliver Wind III, LLC",60562,ND,WNC,WT,4010497,457141.0
12407,60911,Green Energy Machine,"Green Energy Machine, LLC",60567,IA,WNC,WT,50542,5761.0
12428,60931,CCC Hastings Wind Turbine,"CCC Hastings Renewable Energy, LLC",60578,NE,WNC,WT,69227,7891.0
12429,60932,Creston Ridge Wind Farm,"Creston Ridge, LLC",60577,NE,WNC,WT,253136,28854.0
12469,60983,Buckthorn Wind Project,"Buckthorn Wind Project, LLC",60617,TX,WSC,WT,3573602,407341.0
12472,60987,Santa Rita Wind Energy,"BHE Renewables, LLC",59359,TX,WSC,WT,11215270,1278385.0
12475,60991,Sterling I Wind Farm,AEM Wind LLC,60634,NM,MTN,WT,1209980,137921.0
12484,60999,Reading Wind Project,Southern Power Co,17650,KS,WNC,WT,3196724,364382.0
12486,61001,Cactus Flats Wind Energy Project,Southern Power Co,17650,TX,WSC,WT,4323387,492806.0
12487,61002,"WED Portsmouth One, LLC","WED Portsmouth One, LLC",60621,RI,NEW,WT,44130,5030.0
12489,61004,Whirlpool Corporation - Ottawa Wind Farm,OEE XXIV LLC,60644,OH,ENC,WT,35882,4090.0
12490,61005,Whirlpool Corporation - Marion Wind Farm,OEE XXIII LLC,60645,OH,ENC,WT,82651,9421.0
12517,61032,Heart of Texas Wind Project,Scout Clean Energy LLC,63074,TX,WSC,WT,3502902,399282.0
12519,61039,Deerfield Wind LLC,Avangrid Renewables LLC,15399,VT,NEW,WT,913366,104111.0
12520,61040,Twin Buttes II Wind,Avangrid Renewables LLC,15399,CO,MTN,WT,2971564,338717.0
12523,61047,Coyote Ridge,Coyote Ridge LLC,63083,SD,WNC,WT,3844584,438229.0
12531,61056,Seward Wind Farm,Seward Wind LLC,61275,NE,WNC,WT,68141,7767.0
12535,61066,Foundation CDCR LAC,"Foundation CA Fund VIII Manager, LLC",60690,CA,PACC,WT,37898,4320.0
12536,61067,Foundation Scheid Vineyards,"Foundation CA Fund VIII Manager, LLC",60690,CA,PACC,WT,32829,3742.0
12540,61070,Saratoga Wind Farm,Madison Gas & Electric Co,11479,IA,WNC,WT,2426954,276639.0
12544,61077,Orient Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,14949850,1704075.0
12545,61079,Beaver Creek Wind,MidAmerican Energy Co,12341,IA,WNC,WT,10989262,1252623.0
12562,61100,"Burke Wind, LLC",Burke Wind LLC,60714,ND,WNC,WT,195305,22262.0
12565,61106,Pine River Wind Park,DTE Electric Company,5109,MI,ENC,WT,3646532,415654.0
12592,61155,Big Timber Wind Farm,Consolidated Edison Development Inc.,56769,MT,MTN,WT,834294,95098.0
12597,61161,Harvest Ridge  Wind Farm,Harvest Ridge Wind Farm,60719,IL,ENC,WT,2425577,276482.0
12640,61212,Flat Top Wind I,"Flat Top Wind I, LLC",60844,TX,WSC,WT,7854844,895343.0
12648,61221,Redbed Plains Wind Farm,Redbed Plains Wind Farm LLC,60859,OK,WSC,WT,3725813,424691.0
12649,61222,Golden Hills North Wind Energy Center,"Golden Hills Interconnection Wind, LLC",60811,CA,PACC,WT,1446589,164891.0
12671,61261,Rock Falls Wind Farm LLC,"EDF Renewable Asset Holdings, Inc.",57170,OK,WSC,WT,4907466,559383.0
12678,61269,Thunder Ranch Wind Project,"Thunder Ranch Wind Project, LLC",60881,OK,WSC,WT,9860775,1123991.0
12679,61270,Red Dirt Wind Project,"Red Dirt Wind Project, LLC",60882,OK,WSC,WT,8631736,983898.0
12706,61303,Bluff Point Wind Facility,"Bluff Point Wind, LLC",60944,IN,ENC,WT,3253466,370850.0
12725,61330,Hog Creek Wind Project,Hog Creek Wind Project LLC,60969,OH,ENC,WT,1761733,200813.0
12738,61343,Karankawa Wind LLC,Avangrid Renewables LLC,15399,TX,WSC,WT,8723880,994401.0
12739,61344,Otter Creek Wind Farm LLC,Avangrid Renewables LLC,15399,IL,ENC,WT,3405976,388234.0
12750,61356,Valfilm Wind Project,OEE XXV LLC,60996,OH,ENC,WT,64904,7398.0
12751,61357,Red Pine Wind Project,"EDF Renewable Asset Holdings, Inc.",57170,MN,WNC,WT,7461192,850472.0
12786,61402,Foard City Wind,"Foard City Wind, LLC",61037,TX,WSC,WT,11424665,1302253.0
12791,61407,Cottonwood Wind Energy Center,Cottonwood Wind Project,61042,NE,WNC,WT,3795157,432595.0
12801,61417,Gopher Creek Wind Farm,Fluvanna Wind Energy 2 LLC,61054,TX,WSC,WT,5681931,647661.0
12826,61442,Foundation California Training Facility,"Foundation CA Fund IX Manager, LLC",61070,CA,PACC,WT,44164,5034.0
12827,61443,Foundation Mann Packing,"Foundation CA Fund IX Manager, LLC",61070,CA,PACC,WT,44996,5129.0
12828,61444,Foundation SaIinas Valley State Prison,"Foundation CA Fund IX Manager, LLC",61070,CA,PACC,WT,41671,4750.0
12913,61540,Fort Hays State University Wind Farm,Fort Hays State University,61149,KS,WNC,WT,135981,15500.0
12936,61564,Upland Prairie,Interstate Power and Light Co,9417,IA,WNC,WT,9128122,1040479.0
12937,61565,English Farms,Interstate Power and Light Co,9417,IA,WNC,WT,5233523,596549.0
12955,61582,Voyager Wind II,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,4114377,468982.0
12956,61583,Voyager Wind III,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,1198470,136609.0
12957,61584,Voyager Wind IV,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,626295,71389.0
