,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_usage,net_gen
9480,57741,Suzlon Project VIII LLC,Suzlon Project VIII LLC,57054,TX,WSC,WT,54219,6180.0
9483,57744,Laurel Hill Wind,Laurel Wind Energy LLC,57053,PA,MAT,WT,1519851,173242.0
9487,57748,Gordon Butte Wind LLC,Gordon Butte Wind LLC,57042,MT,MTN,WT,677635,77241.0
9488,57749,Sawtooth Wind Project,Idaho Winds LLC,57041,ID,MTN,WT,469181,53480.0
9490,57751,Los Vientos Wind 1A,"Los Vientos Wind 1A, LLC",57063,TX,WSC,WT,4505935,513614.0
9491,57752,Los Vientos Wind 1B,"Los Vientos Wind 1B, LLC",57064,TX,WSC,WT,3932310,448229.0
9494,57755,TPW Petersburg,TPW Petersburg LLC,57050,NE,WNC,WT,1714840,195468.0
9495,57756,Coastal Energy Project,Coastal Community Action Program,57066,WA,PACC,WT,120717,13760.0
9496,57757,Pacific Wind LLC,"EDF Renewable Asset Holdings, Inc.",57170,CA,PACC,WT,2537125,289197.0
9498,57760,Power County Wind Park South,Power County Wind Park South LLC,57068,ID,MTN,WT,553129,63049.0
9499,57761,Power County Wind Park North,Power County Wind Park North LLC,57069,ID,MTN,WT,616766,70303.0
9500,57762,Cimarron Wind Energy LLC,Cimarron Wind Energy LLC,58143,KS,WNC,WT,5990241,682804.0
9504,57766,Rockland Wind Farm,Ridgeline Energy LLC,57075,ID,MTN,WT,2266698,258372.0
9505,57767,Brown County Wind Turbine,Adams Electric Cooperative,57077,IL,ENC,WT,25064,2857.0
9507,57769,Mehoopany Wind Energy LLC,AE Power Services LLC,55963,PA,MAT,WT,3489067,397705.0
9513,57774,Windstar 1,Brookfield Renewable Trading and Marketing LP,63235,CA,PACC,WT,2441939,278347.0
9515,57775,Kingman 1,Brookfield Renewable Trading and Marketing LP,63235,AZ,MTN,WT,233126,26573.0
9526,57787,Flat Ridge 2 Wind Energy LLC,AE Power Services LLC,55963,KS,WNC,WT,15573471,1775159.0
9531,57791,Foundation AB,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,20170,2299.0
9532,57792,Foundation IE,"Foundation HA Energy Generation, LLC",56930,CA,PACC,WT,3920,447.0
9541,57800,Bison 2 Wind Energy Center,"ALLETE, Inc.",12647,ND,WNC,WT,2774890,316299.0
9542,57801,Bison 3 Wind Energy Center,"ALLETE, Inc.",12647,ND,WNC,WT,2813956,320752.0
9543,57802,Magic Valley Wind Farm I LLC,RWE Renewables Americas LLC,56215,TX,WSC,WT,4733131,539511.0
9544,57803,Lime Wind,Lime Wind LLC,57122,OR,PACC,WT,46471,5297.0
9555,57813,GL Wind,GL Wind LLC,57127,MN,WNC,WT,87363,9958.0
9566,57823,WCROC Wind Farm,University of Minnesota WCROC,57138,MN,WNC,WT,40619,4630.0
9571,57830,Rippey Wind Farm,Greenbacker Renewable Energy Corporation,60025,IA,WNC,WT,1309607,149277.0
9573,57832,Hawkeye Wind Farm,Greenbacker Renewable Energy Corporation,60025,IA,WNC,WT,1139850,129927.0
9574,57833,Mustang Hills LLC,Longroad Energy Services 2,63800,CA,PACC,WT,2427647,276718.0
9575,57834,Pinyon Pine I,"Pinyon Pines Wind I, LLC",59868,CA,PACC,WT,2424410,276349.0
9576,57835,Alta Wind VIII,Brookfield Renewable Trading and Marketing LP,63235,CA,PACC,WT,1878915,214170.0
9578,57837,Pinyon Pine II,"Pinyon Pines Wind II, LLC",59869,CA,PACC,WT,1811800,206520.0
9589,57844,Franklin County Wind Farm,Interstate Power and Light Co,9417,IA,WNC,WT,2066928,235601.0
9596,57851,Sigel Wind Park,DTE Electric Company,5109,MI,ENC,WT,2250966,256579.0
9597,57852,Minden Wind Park,DTE Electric Company,5109,MI,ENC,WT,999683,113950.0
9598,57853,McKinley Wind Park,DTE Electric Company,5109,MI,ENC,WT,453521,51695.0
9601,57855,Ipswich Wind Turbine,Town of Ipswich - (MA),9442,MA,NEW,WT,33107,3774.0
9603,57858,Caney River Wind Project,Caney River Wind Project,57191,KS,WNC,WT,6105761,695972.0
9607,57862,"Wildcat Wind Farm I, LLC",RWE Renewables Americas LLC,56215,IN,ENC,WT,5228971,596030.0
9611,57866,Golden Spread Panhandle Wnd Rch,"Golden Spread Electric Cooperative, Inc",7349,TX,WSC,WT,2143859,244370.0
9612,57867,Howard Wind Farm,Longroad Energy Services 2,63800,NY,MAT,WT,1106897,126171.0
9617,57873,Eclipse Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,5935417,676555.0
9618,57874,Vienna Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,4074163,464398.0
9619,57875,Morning Light Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,2875604,327779.0
9622,57880,Eolos Wind Energy Research Field Station,Regents of the University of Minnesota,57215,MN,WNC,WT,24082,2745.0
9632,57887,Wildcat Wind,"Wildcat Wind, LLC",57257,NM,MTN,WT,730736,83294.0
9633,57888,Harvest 2,"Harvest II Windfarm, LLC",57256,MI,ENC,WT,1783938,203344.0
9634,57889,KODE Novus II,DeWind Co.,56627,OK,WSC,WT,340103,38767.0
9635,57890,"Horse Butte Wind I, LLC",Utah Associated Mun Power Sys,40575,ID,MTN,WT,1609012,183405.0
9666,57913,Tule Wind LLC,Avangrid Renewables LLC,15399,CA,PACC,WT,2988890,340692.0
9678,57927,Baffin Wind,Avangrid Renewables LLC,15399,TX,WSC,WT,4822132,549656.0
9691,57935,Eva Creek Wind,Golden Valley Elec Assn Inc,7353,AK,PACN,WT,404333,46088.0
9703,57947,Macho Springs Power I,Capital Power Corporation,59365,NM,MTN,WT,1132470,129086.0
9716,57956,"Minco Wind II, LLC","FPLE Wind, LLC",56925,OK,WSC,WT,2962237,337654.0
9718,57962,Brookfield Tehachapi 1,Consolidated Edison Development Inc.,56769,CA,PACC,WT,2198838,250637.0
9719,57963,Musselshell Wind Project,Musselshell Wind Project LLC,57333,MT,MTN,WT,228580,26055.0
9720,57964,Shady Oaks Wind Farm,Algonquin Power Co,59050,IL,ENC,WT,2804499,319674.0
9721,57965,Musselshell Wind Project Two LLC,Musselshell Wind Project Two LLC,57338,MT,MTN,WT,270806,30868.0
9725,57968,Cashton Greens Wind Farm,Cashton Greens Wind Farm LLC,57340,WI,ENC,WT,98889,11272.0
9729,57973,Spinning Spur Wind LLC,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,5548010,632396.0
9730,57974,Bobcat Bluff Wind Project LLC,"EDF Renewable Asset Holdings, Inc.",57170,TX,WSC,WT,4843549,552097.0
9731,57975,Spearville 3 LLC,"EDF Renewable Asset Holdings, Inc.",57170,KS,WNC,WT,3630216,413794.0
9732,57976,Pocahontas Prairie Wind Farm,MidAmerican Energy Co,12341,IA,WNC,WT,899952,102582.0
9736,57979,Kingdom Community Wind,Green Mountain Power Corp,7601,VT,NEW,WT,1480654,168774.0
9737,57980,Busch Ranch Wind Energy Farm,"Black Hills Colorado Electric, LLC",56146,CO,MTN,WT,802098,91428.0
9738,57981,Senate Wind LLC,Algonquin Power Co,59050,TX,WSC,WT,4402080,501776.0
9740,57983,Stephens Ranch Wind Energy LLC,Stephens Ranch Wind Energy LLC,57355,TX,WSC,WT,11919551,1358663.0
9741,57984,Lake Winds Energy Park,Consumers Energy Co,4254,MI,ENC,WT,2398450,273390.0
9744,57987,Canadian Hills Wind,Canadian Hills Wind LLC,57363,OK,WSC,WT,7933003,904252.0
9748,57991,Highland North Wind Farm,Longroad Energy Services 2,63800,PA,MAT,WT,1730230,197222.0
9752,57995,NaturEner Rim Rock Energy,NaturEner Rim Rock Energy LLC,57370,MT,MTN,WT,6190099,705585.0
9754,57996,Auwahi Wind Energy Hybrid,Auwahi Wind Energy LLC,57372,HI,PACN,WT,799939,91182.0
9756,57998,Twin Ridges Wind Farm,Longroad Energy Services 2,63800,PA,MAT,WT,3655640,416692.0
9757,57999,Patton Wind Farm,Longroad Energy Services 2,63800,PA,MAT,WT,694716,79188.0
9758,58000,"Anacacho Wind Farm, LLC",RWE Renewables Americas LLC,56215,TX,WSC,WT,2801920,319380.0
9763,58004,Granite Reliable Power,Granite Reliable Power,57378,NH,NEW,WT,2064584,235334.0
9769,58008,California Ridge Wind Energy LLC,SunEdison LLC,59139,IL,ENC,WT,5904896,673076.0
9779,58018,Shooting Star,"Shooting Star Power Partners, LLC",57395,KS,WNC,WT,3854953,439411.0
9780,58019,High Mesa,"High Mesa Energy, LLC",57396,ID,MTN,WT,812596,92624.75
9781,58020,Beebe 1A,"Beebe Renewable Energy, LLC",57397,MI,ENC,WT,1938710,220986.0
9782,58021,Whitetail,"Whitetail Wind Energy, LLC",57398,TX,WSC,WT,2106151,240072.0
9785,58025,Mt Wachusett Community College,Mt Wachusett Community College,57401,MA,NEW,WT,42497,4844.07
9786,58026,Spruce Mountain WInd,Spruce Mountain Wind LLC,57402,ME,NEW,WT,490069,55861.0
9793,58035,Block Island Wind Farm,Deepwater Wind Block Island LLC,57406,RI,NEW,WS,1054767,120229.0
9796,58038,Buffalo Center Wind LLC,Buffalo Center Wind LLC,57409,IA,WNC,WT,46637,5316.0
9799,58041,Chisholm View Wind Project,Chisholm View Wind Project,57412,OK,WSC,WT,8633148,984059.0
9802,58044,"Anchor Wind, LLC","Acciona Energy USA Global, LLC",57416,IA,WNC,WT,154984,17666.0
9803,58045,Community Wind South,Greenbacker Renewable Energy Corporation,60025,MN,WNC,WT,631585,71992.0
9806,58048,BayWa r.e Mozart LLC,BayWa r.e Wind LLC,57421,TX,WSC,WT,571719,65168.0
9823,58065,Charlestown Wind Turbine,MWRA Charlestown,57443,MA,NEW,WT,14590,1663.0
9832,58071,Windwalkers LLC,Consolidated Edison Development Inc.,56769,IA,WNC,WT,29318,3342.0
9837,58078,Rocky Ridge Wind Project,Rocky Ridge Wind Project LLC,57451,OK,WSC,WT,5163342,588549.0
9840,58080,Wolf Ridge Wind,NextEra Wolf Ridge LLC,57460,TX,WSC,WT,2386607,272040.0
9850,58088,Stony Creek Wind Farm NY,Invenergy Services LLC,49893,NY,MAT,WT,2470704,281626.0
9851,58089,Roeder Family Wind Farm LLC,Consolidated Edison Development Inc.,56769,IA,WNC,WT,32416,3695.0
9859,58098,El Cabo Wind,Avangrid Renewables LLC,15399,NM,MTN,WT,9449495,1077111.0
9860,58099,Montague Wind Power Facility LLC,Avangrid Renewables LLC,15399,OR,PACC,WT,5172465,589589.0
9862,58101,Foundation Cemex River Plant,Foundation CA Fund VI Manager LLC,57476,CA,PACC,WT,25747,2935.0
9863,58102,Foundation Cemex BMQ,Foundation CA Fund VI Manager LLC,57476,CA,PACC,WT,30566,3484.0
9864,58103,Heritage Garden Wind Farm I LLC,DTE Sustainable Generation,64331,MI,ENC,WT,628261,71613.0
9865,58104,Foundation Superior Farms,Foundation CA Fund VI Manager LLC,57476,CA,PACC,WT,11713,1335.0
9866,58105,Foundation Wal-Mart Red Bluff,Foundation CA Fund VI Manager LLC,57476,CA,PACC,WT,15396,1755.0
9867,58106,Meadow Creek Project Company,Ridgeline Energy LLC,57075,ID,MTN,WT,3166544,360942.0
9874,58111,Bishop Hill II Wind Farm,"Bishop Hill Energy II, LLC",59870,IL,ENC,WT,2381860,271499.0
9875,58112,Foundation Cemex Madison,"Foundation CA Fund V Manager, LLC",57484,CA,PACC,WT,15599,1778.0
9876,58113,Foundation RRM,"Foundation CA Fund V Manager, LLC",57484,CA,PACC,WT,81220,9258.0
9877,58114,Foundation NWNA,"Foundation CA Fund V Manager, LLC",57484,CA,PACC,WT,171677,19569.0
9882,58121,Echo Wind Park,DTE Electric Company,5109,MI,ENC,WT,3441192,392248.0
9888,58126,Limon Wind I,Limon,57503,CO,MTN,WT,6238725,711128.0
9889,58127,Limon Wind II,Limon,57503,CO,MTN,WT,5362706,611274.0
9901,58137,Ensign Wind LLC,NextEra Energy Resources Ensign Wind,58090,KS,WNC,WT,3898729,444401.0
9907,58141,Groton Wind LLC,Avangrid Renewables LLC,15399,NH,NEW,WT,936510,106749.0
9923,58154,North Sky River Energy LLC,North Sky River Energy LLC,58121,CA,PACC,WT,3758546,428422.0
9924,58155,Perrin Ranch Wind LLC,Perrin Ranch Wind LLC,58132,AZ,MTN,WT,1861523,212188.0
9940,58162,Cirrus Wind 1 LLC,Cirrus Wind 1 LLC,58134,TX,WSC,WT,191946,21879.0
9996,58203,"Minco Wind III, LLC","FPLE Wind, LLC",56925,OK,WSC,WT,3450263,393282.0
10011,58209,"NextEra-Blackwell Wind, LLC","Blackwell Wind, LLC",58180,OK,WSC,WT,1795774,204693.0
10021,58218,Spion Kop Wind Farm,NorthWestern Energy,13902,MT,MTN,WT,1280771,145990.0
10023,58220,Haviland Plastic Products,Haviland Plastic Products Co,58187,OH,ENC,WT,113488,12936.0
10035,58233,Wagner Wind LLC,Greenbacker Renewable Energy Corporation,60025,CA,PACC,WT,119631,13636.0
10043,58238,Georgia Mountain Community Wind Farm,Greenbacker Renewable Energy Corporation,60025,VT,NEW,WT,253997,28952.0
10047,58242,Pattern Panhandle Wind LLC,Pattern Operators LP,56545,TX,WSC,WT,5475035,624078.0
10125,58321,Goldthwaite Wind Energy Facility,Invenergy Services LLC,49893,TX,WSC,WT,4828000,550325.0
10126,58322,Prairie Breeze,SunEdison LLC,59139,NE,WNC,WT,7318086,834160.0
10128,58324,Vansycle II Wind Energy Center,FPL Energy Stateline II Inc,58298,OR,PACC,WT,2726720,310808.0
10156,58351,Tuscola Bay Wind,Tuscola Bay Wind LLC,58340,MI,ENC,WT,3251284,370601.0
10168,58363,Majestic II Wind,NextEra Energy Majestic Wind,58353,TX,WSC,WT,2970802,338630.0
10173,58372,Blue Summit Wind LLC,Blue Summit Wind LLC,58360,TX,WSC,WT,3921207,446963.0
10196,58394,Alta Wind X,NRG Yield LLC,60015,CA,PACC,WT,3047258,347345.0
10197,58395,Alta Wind XI,NRG Yield LLC,60015,CA,PACC,WT,1884597,214818.0
10205,58404,Pantex,Pantex (NNSA),58388,TX,WSC,WT,324355,36972.0
10207,58407,Luther College Wind Project,Luther College Wind Energy Project LLC,58389,IA,WNC,WT,24871,2835.0
10212,58414,NLMU Wind,New London Municipal Utilities,13468,IA,WNC,WT,37214,4242.0
10213,58416,Headwaters Wind Farm LLC,Headwaters Wind Farm LLC,58412,IN,ENC,WT,5705004,650291.0
10221,58424,Harbor Wind LLC,Harbor Wind Tenant LLC,58420,TX,WSC,WT,0,0.0
10222,58425,Fire Island Wind,Fire Island Wind LLC,58422,AK,PACN,WT,414095,47201.0
10238,58441,Swauk Wind LLC,Gamesa Wind US LLC,58430,WA,PACC,WT,117789,13426.0
10240,58444,Junction Hilltop Wind Farm,Junction Hilltop Management LLC,58439,IA,WNC,WT,210501,23994.0
10252,58456,Cumberland Rose,"Cumberland Rose Wind Energy, LLC",58444,IA,WNC,WT,45127,5144.0
10253,58457,Fontanelle,"Forward Fontanelle Power, LLC",58445,IA,WNC,WT,50296,5733.0
10254,58458,Greenfield Wind,"Greenfield Wind Power, LLC",58446,IA,WNC,WT,43524,4961.0
10255,58459,Meadow Ridge,"Meadow Ridge Wind Energy, LLC",58447,IA,WNC,WT,49350,5625.0
10256,58460,Sky Volt,"Sky Volt, LLC",58448,IA,WNC,WT,48278,5503.0
10257,58461,Wiota,"Wiota Wind Energy, LLC #1",58449,IA,WNC,WT,49568,5650.0
