,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_type,fuel_usage,net_gen
3032,4076,West Marinette,Wisconsin Public Service Corp,20860,WI,ENC,GT,NG,76343.548,18401.0
3033,4077,Wausau,Wisconsin Public Service Corp,20860,WI,ENC,HY,WAT,106325.891,41354.0
3034,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,GT,DFO,0.0,0.0
3035,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,GT,NG,2093.407,448.0
3036,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,ST,DFO,0.0,0.0
3037,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,ST,NG,57055.955,19328.397
3038,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,ST,RC,11573628.016,4077503.6
3039,4078,Weston,Wisconsin Public Service Corp,20860,WI,ENC,ST,SUB,0.0,0.0
3040,4079,Castle Rock,Wisconsin River Power Company,20863,WI,ENC,HY,WAT,244646.351,95152.0
3041,4080,Petenwell,Wisconsin River Power Company,20863,WI,ENC,HY,WAT,329277.07,128068.0
3042,4100,Arcadia Electric,City of Arcadia - (WI),765,WI,ENC,IC,DFO,1649.111,205.373
3043,4100,Arcadia Electric,City of Arcadia - (WI),765,WI,ENC,IC,NG,406.49,50.627
3044,4102,Barron,City of Barron - (WI),1278,WI,ENC,HY,WAT,1084.656,422.0
3045,4102,Barron,City of Barron - (WI),1278,WI,ENC,IC,DFO,15.533,2.0
3046,4107,Cashton,Village of Cashton - (WI),3156,WI,ENC,IC,DFO,0.0,0.0
3047,4107,Cashton,Village of Cashton - (WI),3156,WI,ENC,IC,NG,0.0,0.0
3048,4112,Cumberland (WI),City of Cumberland - (WI),4627,WI,ENC,IC,DFO,330.584,119.907
3049,4112,Cumberland (WI),City of Cumberland - (WI),4627,WI,ENC,IC,NG,218.631,79.093
3050,4113,Elroy,City of Elroy - (WI),5834,WI,ENC,IC,DFO,94.369,33.0
3051,4113,Elroy,City of Elroy - (WI),5834,WI,ENC,IC,NG,0.0,0.0
3052,4114,Fennimore,City of Fennimore - (WI),6274,WI,ENC,IC,DFO,202.219,57.0
3053,4118,Kaukauna Gas Turbine,City of Kaukauna,10056,WI,ENC,GT,NG,3953.822,758.0
3054,4119,Little Chute,City of Kaukauna,10056,WI,ENC,HY,WAT,68306.367,26567.0
3055,4120,New Badger,City of Kaukauna,10056,WI,ENC,HY,WAT,146381.38,56933.0
3056,4122,Rapide Croche,City of Kaukauna,10056,WI,ENC,HY,WAT,46961.708,18265.0
3057,4124,La Farge,La Farge Municipal Electric Co,10525,WI,ENC,IC,DFO,54.511,17.0
3058,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,IC,NG,0.0,0.0
3059,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,ST,BIT,54254.489,15298.087
3060,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,ST,NG,1361.608,369.653
3061,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,ST,PC,304172.309,85809.898
3062,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,ST,SUB,0.0,0.0
3063,4125,Manitowoc,Manitowoc Public Utilities,11571,WI,ENC,ST,WDS,138428.603,39242.362
3064,4130,New Lisbon,City of New Lisbon,13466,WI,ENC,IC,DFO,212.77,73.0
3065,4130,New Lisbon,City of New Lisbon,13466,WI,ENC,IC,NG,0.0,0.0
3066,4139,Viola,Village of Viola - (WI),19867,WI,ENC,IC,DFO,80.888,20.0
3067,4142,Flambeau Hydroelectric Station,Dairyland Power Coop,4716,WI,ENC,HY,WAT,240982.377,93727.0
3068,4143,Genoa,Dairyland Power Coop,4716,WI,ENC,ST,BIT,0.0,0.0
3069,4143,Genoa,Dairyland Power Coop,4716,WI,ENC,ST,DFO,6074.191,217.919
3070,4143,Genoa,Dairyland Power Coop,4716,WI,ENC,ST,SUB,3053962.033,935389.08
3071,4147,Stiles,Oconto Electric Cooperative,13964,WI,ENC,HY,WAT,21329.419,8296.0
3072,4148,Washington Island,"Washington Island El Coop, Inc",20153,WI,ENC,IC,DFO,38.685,9.0
3073,4158,Dave Johnston,PacifiCorp,14354,WY,MTN,ST,DFO,30925.739,9383.977
3074,4158,Dave Johnston,PacifiCorp,14354,WY,MTN,ST,RC,14178189.888,4316220.0
3075,4158,Dave Johnston,PacifiCorp,14354,WY,MTN,ST,SUB,0.0,0.0
3076,4162,Naughton,PacifiCorp,14354,WY,MTN,ST,NG,645856.543,197606.33
3077,4162,Naughton,PacifiCorp,14354,WY,MTN,ST,SUB,7944836.386,2461426.7
3078,4176,Fremont Canyon,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,607410.015,236244.0
3079,4177,Glendo,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,274153.333,106628.0
3080,4178,Guernsey,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,52892.588,20572.0
3081,4180,Kortes,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,404831.671,157454.0
3082,4182,Seminoe,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,348778.898,135653.0
3083,4183,Shoshone (WY),U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,48556.015,18885.0
3084,4185,Fontenelle,U S Bureau of Reclamation,2518,WY,MTN,HY,WAT,166610.317,64801.0
3085,4195,Powerlane Plant,City of Greenville - (TX),7634,TX,WSC,IC,NG,64157.36,25306.0
3086,4195,Powerlane Plant,City of Greenville - (TX),7634,TX,WSC,ST,DFO,0.0,0.0
3087,4195,Powerlane Plant,City of Greenville - (TX),7634,TX,WSC,ST,NG,42724.194,7186.0
3088,4201,Combined Locks,City of Kaukauna,10056,WI,ENC,HY,WAT,123624.411,48082.0
3089,4204,Island Park,Fall River Rural Elec Coop Inc,6169,ID,MTN,HY,WAT,48488.609,18859.0
3090,4213,PHP 1,Portland City of,25835,OR,PACC,HY,WAT,136454.476,53072.0
3091,4214,PHP 2,Portland City of,25835,OR,PACC,HY,WAT,90413.011,35165.0
3092,4251,Logan City,City of Logan - (UT),11135,UT,MTN,GT,NG,5892.487,1179.0
3093,4256,Walnut,Turlock Irrigation District,19281,CA,PACC,GT,DFO,484.153,-3.417
3094,4256,Walnut,Turlock Irrigation District,19281,CA,PACC,GT,NG,2494.035,-17.583
3095,4257,Easton 2,Easton Utilities Comm,5625,MD,SAT,GT,DFO,923.174,143.0
3096,4257,Easton 2,Easton Utilities Comm,5625,MD,SAT,GT,NG,0.0,0.0
3097,4257,Easton 2,Easton Utilities Comm,5625,MD,SAT,IC,DFO,2142.643,-651.0
3098,4257,Easton 2,Easton Utilities Comm,5625,MD,SAT,IC,RFO,0.0,0.0
3099,4258,Greenup Hydro,City of Hamilton - (OH),7977,OH,ENC,HY,WAT,598130.799,232635.0
3100,4263,Echo Dam,City of Bountiful,2010,UT,MTN,HY,WAT,17252.215,6710.0
3101,4266,Spencer,City of Garland - (TX),6958,TX,WSC,ST,DFO,0.0,0.0
