,plant_id,plant,op,op_id,plant_state,region,rpm,net_gen,year,quan_1,quan_2,quan_3,quan_4,quan_5,quan_6,quan_7,quan_8,quan_9,quan_10,quan_11,quan_12,netgen_1,netgen_2,netgen_3,netgen_4,netgen_5,netgen_6,netgen_7,netgen_8,netgen_9,netgen_10,netgen_11,netgen_12
734,58045,Community Wind South,Greenbacker Renewable Energy Corporation,60025,MN,WNC,WT,71992.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,58048,BayWa r.e Mozart LLC,BayWa r.e Wind LLC,57421,TX,WSC,WT,65168.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,58065,Charlestown Wind Turbine,MWRA Charlestown,57443,MA,NEW,WT,1663.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737,58071,Windwalkers LLC,Consolidated Edison Development Inc.,56769,IA,WNC,WT,3342.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,58078,Rocky Ridge Wind Project,Rocky Ridge Wind Project LLC,57451,OK,WSC,WT,588549.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739,58080,Wolf Ridge Wind,NextEra Wolf Ridge LLC,57460,TX,WSC,WT,272040.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,58088,Stony Creek Wind Farm NY,Invenergy Services LLC,49893,NY,MAT,WT,281626.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,58089,Roeder Family Wind Farm LLC,Consolidated Edison Development Inc.,56769,IA,WNC,WT,3695.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,58098,El Cabo Wind,Avangrid Renewables LLC,15399,NM,MTN,WT,1077111.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,58099,Montague Wind Power Facility LLC,Avangrid Renewables LLC,15399,OR,PACC,WT,589589.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
